Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
RBUS,Nationwide Risk-Based U.S. Equity ETF,26.2627,-0.0182,down,0.07,-3.31
RCD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,99.86,-0.65,down,0.65,-1.03
RDIV,Oppenheimer S&P Ultra Dividend Revenue ETF,36.72,-0.27,down,0.73,5.34
RDVY,First Trust Rising Dividend Achievers ETF,29.47,-0.28,down,0.94,-0.23
REGL,ProShares Trust,55.65,0.08,up,0.14,7.34
REK,ProShares Short Real Estate,14.7061,-0.1139,down,0.77,-14.04
REM,iShares Trust,43.635,-0.085,down,0.19,6.09
REML,Credit Suisse AG,25.0794,-0.2301,down,0.91,5.08
RETL,Direxion Daily Retail Bull 3X Shares ETF,28.54,-0.5722,down,1.97,-17.93
REW,ProShares UltraShort Technology,11.81,0.4136,up,3.63,-27.02
REZ,iShares Trust iShares Residential Real Estate ETF,69.52,0.56,up,0.81,23.91
RFDA,RiverFront Dynamic US Dividend Advantage ETF,30.7328,-0.3301,down,1.06,-1.77
RFFC,RiverFront Dynamic US Flex-Cap ETF,31.8294,-0.5159,down,1.59,-0.87
RFG,Invesco S&P Midcap 400 Pure Growth ETF,147.1196,-1.2704,down,0.86,-5.17
RFV,Invesco S&P Midcap 400 Pure Value ETF,65.88,-0.8551,down,1.28,0.25
RGI,Invesco S&P 500 Equal Weight Industrials Portfolio,115.57,-1.2952,down,1.11,-2.28
RHS,Invesco S&P 500 Equal Weight Consumer Staples ETF,122.4698,-0.4402,down,0.36,-5.26
RINF,ProShares Inflation Expectations ETF,27.3668,-0.1296,down,0.47,-4.75
RISE,Sit Rising Rate ETF,24.09,-0.035,down,0.15,-0.35
RJA,AB Svensk Ekportkredit (Swedish Export Credit Corporation),5.73,-0.04,down,0.69,-5.87
RJI,AB Svensk Ekportkredit (Swedish Export Credit Corporation),5.17,-0.05,down,0.96,-4.92
RJN,AB Svensk Ekportkredit (Swedish Export Credit Corporation),2.725,-0.0552,down,1.99,-2.8
RJZ,AB Svensk Ekportkredit (Swedish Export Credit Corporation),8.065,-0.015,down,0.19,-8.91
RNDV,First Trust US Equity Dividend Select ETF,21.03,-0.32,down,1.5,-0.65
RNEM,First Trust Emerging Markets Equity Select ETF,51.3252,-0.6548,down,1.26,-7.92
RNLC,First Trust Large Cap US Equity Select ETF,21.2001,-0.2683,down,1.25,-0.6
RNMC,First Trust Mid Cap US Equity Select ETF,20.9668,-0.1964,down,0.93,-0.2
RNSC,First Trust Small Cap US Equity Select ETF,20.7985,-0.1695,down,0.81,1.18
RODI,Barclays PLC,70,0,unch,0,0
ROM,ProShares Ultra Technology,94.9207,-3.2093,down,3.27,6.67
ROOF,IQ US Real Estate Small Cap ETF,25.1262,0.2562,up,1.03,5.03
RORE,Hartford Multifactor REIT ETF,15.72,0.15,up,0.96,12.18
ROUS,Hartford Multifactor U.S. Equity ETF,30.4,-0.3,down,0.98,-1.76
RPG,Invesco S&P 500 Pure Growth ETF,108.9,-1.05,down,0.95,1.08
RPUT,WisdomTree Trust,18.6455,-0.0193,down,0.1,-22.43
RPV,Invesco S&P 500 Pure Value ETF,62.62,-0.84,down,1.32,-3.82
RSP,Invesco S&P 500 Equal Weight ETF,100.74,-0.73,down,0.72,0.87
RTL,Pacer Benchmark Retail Real Estate SCTR ETF,28.2804,0.2977,up,1.06,14.44
RTM,Invesco S&P 500 Equal Weight Materials ETF,101.58,-0.9765,down,0.95,-6.7
RVNU,Xtrackers Municipal Infrastructure Revenue Bond ETF,26.335,0.065,up,0.25,-1.02
RVRS,ETF Series Solutions,15.8235,-0.1275,down,0.8,3.6
RWDC,Direxion MSCI Defensives Over Cyclicals ETF,50.6612,-0.3389,down,0.66,2.35
RWGV,Direxion Russell 1000 Growth Over Value ETF,52.4414,-0.6198,down,1.17,4.24
RWJ,Oppenheimer S&P SmallCap 600 Revenue ETF,65.53,-0.92,down,1.38,-1.41
RWK,Oppenheimer S&P MidCap 400 Revenue ETF,58.04,-0.54,down,0.92,-0.64
RWL,Oppenheimer S&P 500 Revenue ETF,50.63,-0.52,down,1.02,-0.51
RWLS,Direxion Russell Large Over Small Cap ETF,51.9499,-0.5154,down,0.98,4.62
RWM,ProShares Short Russell2000,41.8,0.34,up,0.82,-3.49
RWR,SPDR DJ Wilshire REIT ETF,97.03,0.98,up,1.02,13.53
RWSL,Direxion Russell Small Over Large Cap ETF,52.2306,-0.3749,down,0.71,4.23
RWVG,Direxion Russell 1000 Value Over Growth ETF,51.486,-0.3565,down,0.69,2.65
RWW,Oppenheimer S&P Financials Revenue ETF,62.8101,-0.8322,down,1.31,-7.66
RXD,ProShares UltraShort Health Care,23.3998,0.5338,up,2.33,-21.46
RXL,ProShares Ultra Health Care,99.6711,-2.4089,down,2.36,13.16
RYE,Invesco S&P 500 Equal Weight Energy ETF,48.24,-1.72,down,3.44,-10.98
RYF,Invesco S&P 500 Equal Weight Financial ETF,40.45,-0.02,down,0.05,-8.87
RYH,Invesco S&P 500 Equal Weight Health Care ETF,193.29,-1.7217,down,0.88,6.37
RYJ,Invesco Raymond James SB-1 Equity ETF,41.64,-0.5029,down,1.19,-2.34
RYT,Invesco S&P 500 Equal Weight Technology ETF,158.76,-2.69,down,1.67,8.98
RYU,Invesco S&P 500 Equal Weight Utilities ETF,92.16,1.16,up,1.27,14.73
RZG,Invesco S&P Smallcap 600 Pure Growth ETF,112.6833,-1.6549,down,1.45,1.3
RZV,Invesco S&P Smallcap 600 Pure Value ETF,67.04,-1.3112,down,1.92,-0.93
SAA,ProShares Ultra SmallCap600,94.5,-1.9318,down,2,1.68
SAGG,Direxion Daily Total Bond Market Bear 1X Shares,31.445,-0.025,down,0.08,-0.76
SBB,ProShares Short SmallCap600,33.4292,0.3193,up,0.96,-5.05
SBM,Short Basic Materials,19.7523,0.3673,up,1.89,6.8
SCAP,AdvisorShares Cornerstone Small Cap ETF,35.445,-0.3242,down,0.91,7.22
SCC,ProShares UltraShort Consumer Services,18.3887,0.2192,up,1.21,-18.88
SCHA,Schwab U.S. Small-Cap ETF,68.34,-0.56,down,0.81,0.51
SCHB,Schwab U.S. Broad Market ETF,65.21,-0.57,down,0.87,1.34
SCHD,Schwab US Dividend Equity ETF,50.18,-0.35,down,0.69,-0.41
SCHG,Schwab U.S. Large-Cap Growth ETF,75.37,-0.76,down,1,4.96
SCHH,Schwab U.S. REIT ETF,43.43,0.42,up,0.98,14.42
SCHK,Schwab 1000 Index ETF,26.64,-0.23,down,0.86,1.9
SCHM,Schwab U.S. Mid Cap ETF,53.82,-0.34,down,0.63,2.99
SCHO,Schwab Short-Term U.S. Treasury ETF,49.91,0.03,up,0.06,0.1
SCHP,Schwab U.S. TIPs ETF,53.84,0.05,up,0.09,-1.45
SCHR,Schwab Intermediate-Term U.S. Treasury ETF,53,0.08,up,0.15,0.99
SCHV,Schwab U.S. Large-Cap Value ETF,52.92,-0.43,down,0.81,-1.55
SCHX,Schwab U.S. Large-Cap ETF,64.69,-0.6,down,0.92,1.54
SCIU,Global X Scientific Beta US ETF,30.3796,-0.1318,down,0.43,-0.57
SCO,ProShares UltraShort Bloomberg Crude Oil,21.68,0.98,up,4.73,-5.26
SCTO,Global X JPMorgan US Sector Rotator Index ETF,22.955,-0.17,down,0.74,-11.9
SDAG,IQ Short Duration Enhanced Core Bond U.S. ETF,25.175,0.015,up,0.06,0.56
SDD,ProShares UltraShort SmallCap600,14.2775,0.2661,up,1.9,-12.98
SDOG,ALPS Sector Dividend Dogs ETF,42.27,-0.38,down,0.89,-5.97
SDOW,UltraPro Short Dow30,15.03,0.32,up,2.18,-21.34
SDP,ProShares UltraShort Utilities,20.7939,-0.4961,down,2.33,-29.32
SDS,ProShares UltraShort S&P500,36.67,0.7,up,1.95,-10.41
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,19.87,-0.0826,down,0.41,-2.95
SDY,SPDR S&P Dividend ETF,95.97,0.01,up,0.01,4.73
SDYL,ETRACS 2X Wells Fargo - BDCI,83.1636,-0.0548,down,0.07,4.44
SECT,Northern Lights Fund Trust IV,26.5402,-0.2298,down,0.86,-4.32
SEF,ProShares Short Financials,23.13,0.12,up,0.52,-0.56
SFHY,WisdomTree Trust,49.855,-0.2466,down,0.49,1.54
SFIG,WisdomTree Trust,49.535,0.01,up,0.02,0.5
SGDM,Sprott Gold Miners ETF,18.79,-0.21,down,1.11,-4.04
SH,ProShares Short S&P500,29.05,0.29,up,1.01,0
SHAG,WisdomTree Trust,49.245,0.03,up,0.06,-0.47
SHE,SPDR Series Trust SPDR SSGA Gender Diversity Index ETF,68.6056,-0.7577,down,1.09,-1.64
SHM,SPDR Nuveen Bloomberg Barclays Short Term Municipal Bond ETF,48.32,0.09,up,0.19,0.5
SHV,iShares Short Treasury Bond ETF,110.4,0.01,up,0.01,0.13
SHY,iShares 1-3 Year Treasury Bond ETF,83.68,0.06,up,0.07,0.04
SHYD,VanEck Vectors Short High-Yield Municipal Index ETF,24.375,0.075,up,0.31,0.5
SIJ,ProShares UltraShort Industrials,15.581,0.2731,up,1.78,-9.73
SIVR,Aberdeen Standard Physical Silver Shares ETF,15.3,0.08,up,0.53,-5.93
SIZ,AGFiQ U.S. Market Neutral Size Fund,19.149,0.0097,up,0.05,-1.75
SIZE,iShares Edge MSCI USA Size Factor ETF,84.85,-0.4842,down,0.57,2.78
SJB,ProShares Short High Yield,22.4,0.04,up,0.18,-4.28
SKF,ProShares UltraShort Financials,20.15,0.19,up,0.95,-3.9
SKOR,FlexShares Credit-Scored US Corporate Bond Index Fund,49.73,0.02,up,0.04,-0.46
SKYY,First Trust Cloud Computing ETF,54.15,-0.59,down,1.08,15.49
SLT,ETF Series Solutions,24.005,-0.6074,down,2.47,-2.3
SLV,iShares Silver Trust,14.77,0.09,up,0.61,-6.2
SLVO,Credit Suisse AG,6.98,-0.0506,down,0.72,-9.17
SLY,SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index --,66.42,-0.66,down,0.98,2.99
SLYG,SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 G,58.94,-0.48,down,0.81,5.26
SLYV,SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value,60.57,-0.56,down,0.92,0.48
SMB,VanEck Vectors AMT-Free Short Municipal Index ETF,17.41,-0.02,down,0.11,0.69
SMDD,UltraPro Short MidCap400,9.5034,0.1437,up,1.54,-13.33
SMDV,ProShares Trust,57.61,0.15,up,0.26,10.08
SMH,VanEck Vectors Semiconductor ETF,99.12,-2.18,down,2.15,-0.58
SMHD,UBS AG,16.14,-0.3397,down,2.06,2.81
SMLF,iShares Edge MSCI Multifactor USA Small-Cap ETF,39.7,-0.22,down,0.55,3.34
SMLL,Direxion Daily Small Cap Bull 2X Shares,44.4869,-0.7346,down,1.62,-4.03
SMLV,SPDR SSGA US Small Cap Low Volatility Index ETF,90.98,0.0198,up,0.02,3.91
SMMD,iShares Trust,42.9546,-0.3011,down,0.7,0.84
SMMU,Short Term Municipal Bond Active Exchange-Traded Fund,49.945,-0.025,down,0.05,0.04
SMMV,iShares Trust,31.52,0,unch,0,11.65
SMN,ProShares UltraShort Basic Materials,31.27,1.13,up,3.75,13.31
SOXL,Direxion Daily Semiconductor Bull 3x Shares,114.3,-8.18,down,6.68,-18.35
SOXS,Direxion Daily Semiconductor Bear 3x Shares,8.37,0.51,up,6.49,-43.62
SOXX,iShares PHLX SOX Semiconductor Sector Index Fund,177.26,-3.93,down,2.17,2.73
SOYB,Teucrium Soybean Fund ETV,16.54,-0.125,down,0.75,-9.03
SPAB,SPDR Portfolio Aggregate Bond ETF,28.08,0.03,up,0.11,-0.53
SPDN,Direxion Daily S&P 500 Bear 1X Shares,29.53,0.28,up,0.96,-3.37
SPDV,AAM S&P 500 High Dividend Value ETF,25.3,-0.1712,down,0.67,-2.64
SPHB,Invesco S&P 500 High Beta ETF,39.6905,-0.7695,down,1.9,-5.27
SPHD,Invesco S&P 500 High Dividend Low Volatility ETF,41.21,-0.25,down,0.6,2.75
SPHQ,Invesco S&P 500 Quality ETF,30.05,-0.32,down,1.05,-0.43
SPIB,SPDR Portfolio Intermediate Term Corporate Bond ETF,33.55,-0.03,down,0.09,-0.65
SPLB,SPDR Portfolio Long Term Corporate Bond ETF,26.15,-0.04,down,0.15,-5.04
SPLG,SPDR Series Trust SPDR Portfolio Large Cap ETF,31.78,-0.29,down,0.9,1.78
SPLV,Invesco S&P 500 Low Volatility ETF,50.16,0.14,up,0.28,8.06
SPMD,SPDR Portfolio Mid Cap ETF,32.78,-0.19,down,0.58,0.73
SPMO,Invesco S&P 500 Momentum ETF,36.9,-0.4052,down,1.09,5.68
SPMV,Invesco Exchange-Traded Fund Trust II,27.035,-0.16,down,0.59,-4.01
SPPP,Sprott Physical Platinum and Palladium Trust,10.47,-0.0698,down,0.66,15.82
SPSM,SPDR Portfolio Small Cap ETF,29.65,-0.29,down,0.97,1.29
SPTL,SPDR Portfolio Long Term Treasury ETF,35.09,0.24,up,0.69,0.78
SPTM,SPDR Portfolio Total Stock Market ETF,33.72,-0.3,down,0.88,2.04
SPTS,SPDR Portfolio Short Term Treasury ETF,29.615,0.025,up,0.08,-0.29
SPUU,Direxion Daily S&P 500 Bull 2X Shares,47.7134,-0.984,down,2.02,-3.07
SPVM,Invesco Exchange-Traded Fund Trust II,26.9072,-0.1298,down,0.48,-4.72
SPVU,Invesco S&P 500 Enhanced Value ETF,33.6499,-0.4167,down,1.22,-2.21
SPXB,ProShares S&P 500 Bond ETF,80.895,-0.1199,down,0.15,1.03
SPXE,ProShares S&P 500 Ex-Energy ETF,56.9749,-0.5456,down,0.95,2.48
SPXL,Direxion Daily S&P 500 Bull 3X Shares,40.82,-1.23,down,2.93,-5.91
SPXN,ProShares S&P 500 Ex-Financials ETF,55.6423,-0.5868,down,1.04,3.31
SPXS,Direxion Daily S&P 500 Bear 3X,24.22,0.69,up,2.93,-18.3
SPXT,ProShares S&P 500 Ex-Technology ETF,51.6259,-0.4654,down,0.89,2.36
SPXU,ProShares UltraPro Short S&P500,36.56,1.07,up,3.01,-18.82
SPXV,ProShares S&P 500 Ex-Health Care ETF,55.9918,-0.5432,down,0.96,2.15
SPY,SPDR S&P 500,270.14,-2.6,down,0.95,1.34
SPYB,SPDR S&P 500 Buyback ETF,63.2569,-0.388,down,0.61,0.62
SPYD,SPDR Series Trust SPDR Portfolio S&P 500 High Dividend ETF,36.86,-0.05,down,0.14,2.36
SPYG,SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF,34.96,-0.33,down,0.94,4.19
SPYV,SPDR Series Trust SPDR Portfolio S&P 500 Value ETF,29.5,-0.27,down,0.91,-1.88
